name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation/type,geolocation/coordinates/0,geolocation/coordinates/1,:@computed_region_cbhk_fwbd,:@computed_region_nnqa_25f4
Mulletiwu,16851,Valid,L,25.5,Fell,1795-01-01T00:00:00.000,9.33333,80.83333,Point,80.83333,9.33333,,
Muraid,16874,Valid,L6,4703,Fell,1924-01-01T00:00:00.000,24.5,90.21667,Point,90.21667,24.5,,
Murchison,16875,Valid,CM2,100000,Fell,1969-01-01T00:00:00.000,-36.61667,145.2,Point,145.2,-36.61667,,
Murray,16882,Valid,CM2,12600,Fell,1950-01-01T00:00:00.000,36.6,-88.1,Point,-88.1,36.6,36,237
Muzaffarpur,16885,Valid,"Iron, IAB-sHL",1245,Fell,1964-01-01T00:00:00.000,26.13333,85.53333,Point,85.53333,26.13333,,
Myhee Caunta,16887,Valid,OC,0,Fell,1842-01-01T00:00:00.000,23.05,72.63333,Point,72.63333,23.05,,
Nadiabondi,16889,Valid,H5,8165,Fell,1956-01-01T00:00:00.000,12,1,Point,1,12,,
Nagai,16890,Valid,L6,1810,Fell,1922-01-01T00:00:00.000,38.12167,140.06167,Point,140.06167,38.12167,,
Nagaria,16892,Valid,Eucrite-cm,20,Fell,1875-01-01T00:00:00.000,26.98333,78.21667,Point,78.21667,26.98333,,
Nagy-Borové,16893,Valid,L5,6100,Fell,1895-01-01T00:00:00.000,49.16667,19.5,Point,19.5,49.16667,,
Nakhla,16898,Valid,Martian (nakhlite),10000,Fell,1911-01-01T00:00:00.000,31.31667,30.35,Point,30.35,31.31667,,
Nakhon Pathom,16899,Valid,L6,23200,Fell,1923-01-01T00:00:00.000,13.73333,100.08333,Point,100.08333,13.73333,,
Nammianthal,16902,Valid,H5,4500,Fell,1886-01-01T00:00:00.000,12.28333,79.2,Point,79.2,12.28333,,
Nan Yang Pao,16903,Valid,L6,52900,Fell,1917-01-01T00:00:00.000,35.66667,103.5,Point,103.5,35.66667,,
Nanjemoy,16904,Valid,H6,7500,Fell,1825-01-01T00:00:00.000,38.41667,-77.16667,Point,-77.16667,38.41667,45,419
Nantong,16907,Valid,H6,529,Fell,1984-01-01T00:00:00.000,32.11667,121.8,Point,121.8,32.11667,,
Naoki,16908,Valid,H6,17000,Fell,1928-01-01T00:00:00.000,19.25,77,Point,77,19.25,,
Naragh,16909,Valid,H6,2700,Fell,1974-01-01T00:00:00.000,33.75,51.5,Point,51.5,33.75,,
Narellan,16912,Valid,L6,367.5,Fell,1928-01-01T00:00:00.000,-34.05,150.68889,Point,150.68889,-34.05,,
Narni,16914,Valid,Stone-uncl,0,Fell,0921-01-01T00:00:00.000,42.51667,12.51667,Point,12.51667,42.51667,,
Nassirah,16922,Valid,H4,347,Fell,1936-01-01T00:00:00.000,-21.73333,165.9,Point,165.9,-21.73333,,
Natal,16923,Valid,Stone-uncl,1.4,Fell,1973-01-01T00:00:00.000,,,,,,,
Nawapali,16927,Valid,CM2,105,Fell,1890-01-01T00:00:00.000,21.25,83.66667,Point,83.66667,21.25,,
Neagari,16934,Valid,L6,420,Fell,1995-01-01T00:00:00.000,36.44917,136.46528,Point,136.46528,36.44917,,
Nedagolla,16935,Valid,"Iron, ungrouped",4500,Fell,1870-01-01T00:00:00.000,18.68333,83.48333,Point,83.48333,18.68333,,
Nejo,16941,Valid,L6,2450,Fell,1970-01-01T00:00:00.000,9.5,35.33333,Point,35.33333,9.5,,
Nerft,16945,Valid,L6,10250,Fell,1864-01-01T00:00:00.000,56.5,21.5,Point,21.5,56.5,,
Neuschwanstein,16950,Valid,EL6,6189,Fell,2002-01-01T00:00:00.000,47.525,10.80833,Point,10.80833,47.525,,
New Concord,16953,Valid,L6,230000,Fell,1860-01-01T00:00:00.000,40,-81.76667,Point,-81.76667,40,38,2615
New Halfa,16954,Valid,L4,12000,Fell,1994-01-01T00:00:00.000,15.36667,35.68333,Point,35.68333,15.36667,,
New Orleans,16960,Valid,H5,19256,Fell,2003-01-01T00:00:00.000,29.94718,-90.10976,Point,-90.10976,29.94718,22,1667
Ngawi,16966,Valid,LL3.6,1393,Fell,1883-01-01T00:00:00.000,-7.45,111.41667,Point,111.41667,-7.45,,
N'Goureyma,16968,Valid,"Iron, ungrouped",37500,Fell,1900-01-01T00:00:00.000,13.85,-4.38333,Point,-4.38333,13.85,,
Nicorps,16970,Valid,Stone-uncl,0,Fell,1750-01-01T00:00:00.000,49.03333,-1.43333,Point,-1.43333,49.03333,,
Niger (L6),16974,Valid,L6,3.3,Fell,1967-01-01T00:00:00.000,,,,,,,
Niger (LL6),16975,Valid,LL6,3.3,Fell,1967-01-01T00:00:00.000,,,,,,,
Nikolaevka,16976,Valid,H4,3996,Fell,1935-01-01T00:00:00.000,52.45,78.63333,Point,78.63333,52.45,,
Nikolskoe,16977,Valid,L4,6000,Fell,1954-01-01T00:00:00.000,56.11667,37.33333,Point,37.33333,56.11667,,
Ningbo,16980,Valid,"Iron, IVA",14250,Fell,1975-01-01T00:00:00.000,29.86667,121.48333,Point,121.48333,29.86667,,
Ningqiang,16981,Valid,C3-ung,4610,Fell,1983-01-01T00:00:00.000,32.925,105.90667,Point,105.90667,32.925,,
Nio,16982,Valid,H3-4,467,Fell,1897-01-01T00:00:00.000,34.2,131.56667,Point,131.56667,34.2,,
N'Kandhla,16983,Valid,"Iron, IID",17200,Fell,1912-01-01T00:00:00.000,-28.56667,30.7,Point,30.7,-28.56667,,
Nobleborough,16984,Valid,Eucrite-pmict,2300,Fell,1823-01-01T00:00:00.000,44.08333,-69.48333,Point,-69.48333,44.08333,49,1683
Noblesville,16985,Valid,H4-6,483.7,Fell,1991-01-01T00:00:00.000,40.08528,-86.055,Point,-86.055,40.08528,35,2238
Nogata,16988,Valid,L6,472,Fell,0861-01-01T00:00:00.000,33.725,130.75,Point,130.75,33.725,,
Nogoya,16989,Valid,CM2,4000,Fell,1879-01-01T00:00:00.000,-32.36667,-59.83333,Point,-59.83333,-32.36667,,
Norfork,16994,Valid,"Iron, IIIAB",1050,Fell,1918-01-01T00:00:00.000,36.21667,-92.26667,Point,-92.26667,36.21667,15,10
Norton County,17922,Valid,Aubrite,1100000,Fell,1948-01-01T00:00:00.000,39.68333,-99.86667,Point,-99.86667,39.68333,17,1252
Noventa Vicentina,17930,Valid,H4,177,Fell,1971-01-01T00:00:00.000,45.29167,11.52722,Point,11.52722,45.29167,,
Novo-Urei,17933,Valid,Ureilite,1900,Fell,1886-01-01T00:00:00.000,54.81667,46,Point,46,54.81667,,
Novy-Ergi,17934,Valid,Stone-uncl,0,Fell,1662-01-01T00:00:00.000,58.55,31.33333,Point,31.33333,58.55,,
Novy-Projekt,17935,Valid,OC,1001,Fell,1908-01-01T00:00:00.000,56,22,Point,22,56,,
Noyan-Bogdo,17936,Valid,L6,250,Fell,1933-01-01T00:00:00.000,42.91667,102.46667,Point,102.46667,42.91667,,
Nuevo Mercurio,17938,Valid,H5,50000,Fell,1978-01-01T00:00:00.000,24.3,-102.13333,Point,-102.13333,24.3,,
Nulles,17959,Valid,H6,5000,Fell,1851-01-01T00:00:00.000,41.63333,0.75,Point,0.75,41.63333,,
Numakai,17960,Valid,H4,363,Fell,1925-01-01T00:00:00.000,43.33333,141.86667,Point,141.86667,43.33333,,
Nyaung,17969,Valid,"Iron, IIIAB",737.6,Fell,1939-01-01T00:00:00.000,21.20833,94.91667,Point,94.91667,21.20833,,
Nyirábrany,17970,Valid,LL5,1100,Fell,1914-01-01T00:00:00.000,47.55,22.025,Point,22.025,47.55,,
Ochansk,17979,Valid,H4,500000,Fell,1887-01-01T00:00:00.000,57.78333,55.26667,Point,55.26667,57.78333,,
Oesede,17988,Valid,H5,1400,Fell,1927-01-01T00:00:00.000,52.28333,8.05,Point,8.05,52.28333,,
Oesel,17989,Valid,L6,6000,Fell,1855-01-01T00:00:00.000,58.5,23,Point,23,58.5,,
Ofehértó,17990,Valid,L6,3750,Fell,1900-01-01T00:00:00.000,47.88333,22.03333,Point,22.03333,47.88333,,
Ogi,17994,Valid,H6,14360,Fell,1741-01-01T00:00:00.000,33.28333,130.2,Point,130.2,33.28333,,
Ohaba,17995,Valid,H5,16250,Fell,1857-01-01T00:00:00.000,46.06667,23.58333,Point,23.58333,46.06667,,
Ohuma,17996,Valid,L5,7700,Fell,1963-01-01T00:00:00.000,6.75,8.5,Point,8.5,6.75,,
Ojuelos Altos,17997,Valid,L6,5850,Fell,1926-01-01T00:00:00.000,38.18333,-5.4,Point,-5.4,38.18333,,
Okabe,17998,Valid,H5,194,Fell,1958-01-01T00:00:00.000,36.18333,139.21667,Point,139.21667,36.18333,,
Okano,18000,Valid,"Iron, IIAB",4742,Fell,1904-01-01T00:00:00.000,35.08333,135.2,Point,135.2,35.08333,,
Okniny,18002,Valid,LL6,12000,Fell,1834-01-01T00:00:00.000,50.83333,25.5,Point,25.5,50.83333,,
Oldenburg (1930),18009,Valid,L6,16570,Fell,1930-01-01T00:00:00.000,52.95,8.16667,Point,8.16667,52.95,,
Oliva-Gandia,18012,Valid,Stone-uncl,0,Fell,1520-01-01T00:00:00.000,39,-0.03333,Point,-0.03333,39,,
Olivenza,18013,Valid,LL5,150000,Fell,1924-01-01T00:00:00.000,38.71667,-7.06667,Point,-7.06667,38.71667,,
Olmedilla de Alarcón,18015,Valid,H5,40000,Fell,1929-01-01T00:00:00.000,39.56667,-2.1,Point,-2.1,39.56667,,
Omolon,18019,Valid,"Pallasite, PMG",250000,Fell,1981-01-01T00:00:00.000,64.02,161.80833,Point,161.80833,64.02,,
Orgueil,18026,Valid,CI1,14000,Fell,1864-01-01T00:00:00.000,43.88333,1.38333,Point,1.38333,43.88333,,
Orlando,34489,Valid,Eucrite,180,Fell,2004-01-01T00:00:00.000,28.5475,-81.36222,Point,-81.36222,28.5475,30,1078
Ornans,18030,Valid,CO3.4,6000,Fell,1868-01-01T00:00:00.000,47.11667,6.15,Point,6.15,47.11667,,
Ortenau,18033,Valid,Stone-uncl,4500,Fell,1671-01-01T00:00:00.000,48.5,8,Point,8,48.5,,
Orvinio,18034,Valid,H6,3400,Fell,1872-01-01T00:00:00.000,42.13333,12.93333,Point,12.93333,42.13333,,
Oterøy,18042,Valid,L6,246,Fell,1928-01-01T00:00:00.000,58.88333,9.4,Point,9.4,58.88333,,
Otomi,18045,Valid,H,6510,Fell,1867-01-01T00:00:00.000,38.4,140.35,Point,140.35,38.4,,
Ottawa,18046,Valid,LL6,840,Fell,1896-01-01T00:00:00.000,38.6,-95.21667,Point,-95.21667,38.6,17,1947
Ouadangou,56729,Valid,L5,4440,Fell,2003-01-01T00:00:00.000,12.9,0.08,Point,0.08,12.9,,
Oued el Hadjar,18050,Valid,LL6,1215.5,Fell,1986-01-01T00:00:00.000,30.18,-6.57717,Point,-6.57717,30.18,,
Oum Dreyga,31282,Valid,H3-5,17000,Fell,2003-01-01T00:00:00.000,24.3,-13.1,Point,-13.1,24.3,,
Ourique,18052,Valid,H4,20000,Fell,1998-01-01T00:00:00.000,37.60833,-8.28,Point,-8.28,37.60833,,
Ovambo,18055,Valid,L6,121.5,Fell,1900-01-01T00:00:00.000,-18,16,Point,16,-18,,
Oviedo,18058,Valid,H5,205,Fell,1856-01-01T00:00:00.000,43.4,-5.86667,Point,-5.86667,43.4,,
Owrucz,18062,Valid,OC,0,Fell,1775-01-01T00:00:00.000,51.33333,28.83333,Point,28.83333,51.33333,,
Pacula,18068,Valid,L6,3400,Fell,1881-01-01T00:00:00.000,21.05,-99.3,Point,-99.3,21.05,,
Padvarninkai,18069,Valid,Eucrite-mmict,3858,Fell,1929-01-01T00:00:00.000,55.66667,25,Point,25,55.66667,,
Paitan,18072,Valid,H6,515,Fell,1910-01-01T00:00:00.000,17.74333,120.45583,Point,120.45583,17.74333,,
Palahatchie,18073,Valid,OC,0,Fell,1910-01-01T00:00:00.000,32.31667,-89.71667,Point,-89.71667,32.31667,32,503
Palca de Aparzo,18074,Valid,L5,1430,Fell,1988-01-01T00:00:00.000,-23.11667,-65.1,Point,-65.1,-23.11667,,
Palinshih,18077,Valid,Iron,18000,Fell,1914-01-01T00:00:00.000,43.48333,118.61667,Point,118.61667,43.48333,,
Palmyra,18079,Valid,L3,135,Fell,1926-01-01T00:00:00.000,39.8,-91.5,Point,-91.5,39.8,18,2122
Palolo Valley,18082,Valid,H5,682,Fell,1949-01-01T00:00:00.000,21.3,-157.78333,Point,-157.78333,21.3,4,1657
Dominion Range 03239,32591,Valid,L6,69.5,Found,2002-01-01T00:00:00.000,,,,,,,
Pampanga,18093,Valid,L5,10500,Fell,1859-01-01T00:00:00.000,15.08333,120.7,Point,120.7,15.08333,,
Pantar,18098,Valid,H5,2130,Fell,1938-01-01T00:00:00.000,8.06667,124.28333,Point,124.28333,8.06667,,
Paragould,18101,Valid,LL5,408000,Fell,1930-01-01T00:00:00.000,36.06667,-90.5,Point,-90.5,36.06667,15,1023
Parambu,18102,Valid,LL5,2000,Fell,1967-01-01T00:00:00.000,-6.23333,-40.7,Point,-40.7,-6.23333,,
Paranaiba,18103,Valid,L6,100000,Fell,1956-01-01T00:00:00.000,-19.13333,-51.66667,Point,-51.66667,-19.13333,,
Park Forest,18106,Valid,L5,18000,Fell,2003-01-01T00:00:00.000,41.48472,-87.67917,Point,-87.67917,41.48472,34,1863
Parnallee,18108,Valid,LL3.6,77600,Fell,1857-01-01T00:00:00.000,9.23333,78.35,Point,78.35,9.23333,,
Parsa,18109,Valid,EH3,800,Fell,1942-01-01T00:00:00.000,26.2,85.4,Point,85.4,26.2,,
Pasamonte,18110,Valid,Eucrite-pmict,5100,Fell,1933-01-01T00:00:00.000,36.21667,-103.4,Point,-103.4,36.21667,11,1994
Patora,18112,Valid,H6,4375,Fell,1969-01-01T00:00:00.000,20.93694,82.05,Point,82.05,20.93694,,
Patrimonio,18116,Valid,L6,2121,Fell,1950-01-01T00:00:00.000,-19.53333,-48.56667,Point,-48.56667,-19.53333,,
Patti,18118,Valid,Iron,12,Fell,1922-01-01T00:00:00.000,38.13333,14.96667,Point,14.96667,38.13333,,
Patwar,18171,Valid,Mesosiderite-A1,37350,Fell,1935-01-01T00:00:00.000,23.15,91.18333,Point,91.18333,23.15,,
Pavel,18173,Valid,H5,2968,Fell,1966-01-01T00:00:00.000,43.46667,25.51667,Point,25.51667,43.46667,,
Pavlodar (stone),18175,Valid,H5,142.5,Fell,1938-01-01T00:00:00.000,52.3,77.03333,Point,77.03333,52.3,,
Pavlograd,18176,Valid,L6,40000,Fell,1826-01-01T00:00:00.000,48.53333,35.98333,Point,35.98333,48.53333,,
Pavlovka,18177,Valid,Howardite,2000,Fell,1882-01-01T00:00:00.000,52.03333,43,Point,43,52.03333,,
Pê,18179,Valid,L6,0,Fell,1989-01-01T00:00:00.000,11.33367,-3.54217,Point,-3.54217,11.33367,,
Peace River,18180,Valid,L6,45760,Fell,1963-01-01T00:00:00.000,56.13333,-117.93333,Point,-117.93333,56.13333,,
Peckelsheim,18181,Valid,Diogenite-pm,117.8,Fell,1953-01-01T00:00:00.000,51.66667,9.25,Point,9.25,51.66667,,
Peekskill,18782,Valid,H6,12570,Fell,1992-01-01T00:00:00.000,41.28333,-73.91667,Point,-73.91667,41.28333,47,2185
Peña Blanca Spring,18786,Valid,Aubrite,70000,Fell,1946-01-01T00:00:00.000,30.125,-103.11667,Point,-103.11667,30.125,23,3062
Peramiho,18792,Valid,Eucrite-mmict,165,Fell,1899-01-01T00:00:00.000,-10.66667,35.5,Point,35.5,-10.66667,,
Perpeti,18793,Valid,L6,23474,Fell,1935-01-01T00:00:00.000,23.325,91,Point,91,23.325,,
Perth,18797,Valid,LL5,2,Fell,1830-01-01T00:00:00.000,56.4,-3.43333,Point,-3.43333,56.4,,
Pervomaisky,18798,Valid,L6,66000,Fell,1933-01-01T00:00:00.000,56.63333,39.43333,Point,39.43333,56.63333,,
Pesyanoe,18799,Valid,Aubrite,3393,Fell,1933-01-01T00:00:00.000,55.5,66.08333,Point,66.08333,55.5,,
Pétèlkolé,18800,Valid,H5,189,Fell,1995-01-01T00:00:00.000,14.052,0.42,Point,0.42,14.052,,
Petersburg,18801,Valid,Eucrite-pmict,1800,Fell,1855-01-01T00:00:00.000,35.3,-86.63333,Point,-86.63333,35.3,39,2017
Pettiswood,18804,Valid,Stone-uncl,0,Fell,1779-01-01T00:00:00.000,53.53333,-7.33333,Point,-7.33333,53.53333,,
Phillips County (stone),18808,Valid,L6,57900,Fell,1901-01-01T00:00:00.000,40,-99.25,Point,-99.25,40,17,1255
Phu Hong,18809,Valid,H4,500,Fell,1887-01-01T00:00:00.000,11.25,108.58333,Point,108.58333,11.25,,
Phum Sambo,18811,Valid,H4,7800,Fell,1933-01-01T00:00:00.000,12,105.48333,Point,105.48333,12,,
Phuoc-Binh,18812,Valid,L5,11000,Fell,1941-01-01T00:00:00.000,15.71667,108.1,Point,108.1,15.71667,,
Piancaldoli,18813,Valid,LL3.4,13.1,Fell,1968-01-01T00:00:00.000,44.24417,11.50222,Point,11.50222,44.24417,,
Picote,18816,Valid,Stone-uncl,0,Fell,1843-01-01T00:00:00.000,41.36667,-6.23333,Point,-6.23333,41.36667,,
Pillistfer,18822,Valid,EL6,23250,Fell,1863-01-01T00:00:00.000,58.66667,25.73333,Point,25.73333,58.66667,,
Piplia Kalan,18831,Valid,Eucrite-mmict,42000,Fell,1996-01-01T00:00:00.000,26.03472,73.94167,Point,73.94167,26.03472,,
Piquetberg,18832,Valid,H,37,Fell,1881-01-01T00:00:00.000,-32.86667,18.71667,Point,18.71667,-32.86667,,
Pirgunje,18834,Valid,L6,842,Fell,1882-01-01T00:00:00.000,25.8,88.45,Point,88.45,25.8,,
Pirthalla,18835,Valid,H6,1161,Fell,1884-01-01T00:00:00.000,29.58333,76,Point,76,29.58333,,
Pitts,18837,Valid,"Iron, IAB-ung",3760,Fell,1921-01-01T00:00:00.000,31.95,-83.51667,Point,-83.51667,31.95,31,207
Plantersville,18846,Valid,H6,2085,Fell,1930-01-01T00:00:00.000,30.7,-96.11667,Point,-96.11667,30.7,23,2018
Pleşcoi,51706,Valid,L5-6,6913,Fell,2008-01-01T00:00:00.000,45.275,26.70972,Point,26.70972,45.275,,
Ploschkovitz,18849,Valid,L5,39,Fell,1723-01-01T00:00:00.000,50.53333,14.11667,Point,14.11667,50.53333,,
Pnompehn,18851,Valid,L6,96,Fell,1868-01-01T00:00:00.000,11.58333,104.91667,Point,104.91667,11.58333,,
Dominion Range 03240,32592,Valid,LL5,290.9,Found,2002-01-01T00:00:00.000,,,,,,,
Pohlitz,18853,Valid,L5,3000,Fell,1819-01-01T00:00:00.000,50.93333,12.13333,Point,12.13333,50.93333,,
Pokhra,18858,Valid,H5,350,Fell,1866-01-01T00:00:00.000,26.71667,82.66667,Point,82.66667,26.71667,,
Pollen,18860,Valid,CM2,253.6,Fell,1942-01-01T00:00:00.000,66.34833,14.015,Point,14.015,66.34833,,
Pontlyfni,18865,Valid,Winonaite,157,Fell,1931-01-01T00:00:00.000,53.03639,-4.31944,Point,-4.31944,53.03639,,
Portales Valley,18874,Valid,H6,71400,Fell,1998-01-01T00:00:00.000,34.175,-103.295,Point,-103.295,34.175,11,1987
Portugal,18876,Valid,Stone-uncl,4500,Fell,1796-01-01T00:00:00.000,38.5,-8,Point,-8,38.5,,
Po-wang Chen,18879,Valid,LL,665,Fell,1933-01-01T00:00:00.000,31.41667,118.5,Point,118.5,31.41667,,
Prambachkirchen,18883,Valid,L6,2125,Fell,1932-01-01T00:00:00.000,48.3025,13.94083,Point,13.94083,48.3025,,
Pribram,18887,Valid,H5,5555,Fell,1959-01-01T00:00:00.000,49.66667,14.03333,Point,14.03333,49.66667,,
Pricetown,18888,Valid,L6,900,Fell,1893-01-01T00:00:00.000,39.11667,-83.85,Point,-83.85,39.11667,38,2566
Puerto Lápice,45984,Valid,Eucrite-br,500,Fell,2007-01-01T00:00:00.000,39.35,-3.51667,Point,-3.51667,39.35,,
Pulsora,18899,Valid,H5,560,Fell,1863-01-01T00:00:00.000,23.36667,75.18333,Point,75.18333,23.36667,,
Pultusk,18901,Valid,H5,250000,Fell,1868-01-01T00:00:00.000,52.76667,21.26667,Point,21.26667,52.76667,,
Punganaru,18902,Valid,Stone-uncl,100,Fell,1811-01-01T00:00:00.000,13.33333,78.95,Point,78.95,13.33333,,
Putinga,18905,Valid,L6,300000,Fell,1937-01-01T00:00:00.000,-29.03333,-53.05,Point,-53.05,-29.03333,,
Qidong,18907,Valid,L/LL5,1275,Fell,1982-01-01T00:00:00.000,32.08333,121.5,Point,121.5,32.08333,,
Qingzhen,18908,Valid,EH3,2600,Fell,1976-01-01T00:00:00.000,26.53333,106.46667,Point,106.46667,26.53333,,
